ID Household Income Bucket,Household Income Bucket,ID Year,Year,Household Income,Household Income Moe,Geography,ID Geography,Slug Geography,share
0,"< $10,000",2022,"2022",6192080,22306,"United States","01000US","united-states",0.04924653731606165
1,"$10,000-$14,999",2022,"2022",4743710,20611,"United States","01000US","united-states",0.03772743432442326
2,"$15,000-$19,999",2022,"2022",4235151,17229,"United States","01000US","united-states",0.03368278862040797
3,"$20,000-$24,999",2022,"2022",4587937,18658,"United States","01000US","united-states",0.03648854838345757
4,"$25,000-$29,999",2022,"2022",4701374,19434,"United States","01000US","united-states",0.037390729791566324
5,"$30,000-$34,999",2022,"2022",4608052,17944,"United States","01000US","united-states",0.03664852598357136
6,"$35,000-$39,999",2022,"2022",4479480,17112,"United States","01000US","united-states",0.03562597365934417
7,"$40,000-$44,999",2022,"2022",4465681,17575,"United States","01000US","united-states",0.03551622815081967
8,"$45,000-$49,999",2022,"2022",4518761,18906,"United States","01000US","united-states",0.03593838132079431
9,"$50,000-$59,999",2022,"2022",8700174,23712,"United States","01000US","united-states",0.06919378359892465
10,"$60,000-$74,999",2022,"2022",11528244,30460.000000000004,"United States","01000US","united-states",0.09168584681313287
11,"$75,000-$99,999",2022,"2022",16085302,41834,"United States","01000US","united-states",0.127928809896371
12,"$100,000-$124,999",2022,"2022",12442523,43284,"United States","01000US","united-states",0.09895724429036049
13,"$125,000-$149,999",2022,"2022",9024401,41755,"United States","01000US","united-states",0.07177240936835506
14,"$150,000-$199,999",2022,"2022",11075396,50946,"United States","01000US","united-states",0.08808427901515482
15,"$200,000+",2022,"2022",14348087,70248,"United States","01000US","united-states",0.1141124794672548
0,"< $10,000",2022,"2022",2209,451.99999999999994,"Inglewood, CA","16000US0636546","inglewood-ca",0.06175048220725128
1,"$10,000-$14,999",2022,"2022",1386,268,"Inglewood, CA","16000US0636546","inglewood-ca",0.0387443043636262
2,"$15,000-$19,999",2022,"2022",1185,354,"Inglewood, CA","16000US0636546","inglewood-ca",0.03312554160959383
3,"$20,000-$24,999",2022,"2022",1647,225,"Inglewood, CA","16000US0636546","inglewood-ca",0.04604030973080256
4,"$25,000-$29,999",2022,"2022",1477,268,"Inglewood, CA","16000US0636546","inglewood-ca",0.041288122326894584
5,"$30,000-$34,999",2022,"2022",1091,236,"Inglewood, CA","16000US0636546","inglewood-ca",0.030497861515668242
6,"$35,000-$39,999",2022,"2022",1580,392,"Inglewood, CA","16000US0636546","inglewood-ca",0.04416738881279177
7,"$40,000-$44,999",2022,"2022",1353,346,"Inglewood, CA","16000US0636546","inglewood-ca",0.03782182092639701
8,"$45,000-$49,999",2022,"2022",1502,360,"Inglewood, CA","16000US0636546","inglewood-ca",0.04198697341570458
9,"$50,000-$59,999",2022,"2022",2754,414,"Inglewood, CA","16000US0636546","inglewood-ca",0.0769854359433092
10,"$60,000-$74,999",2022,"2022",3699,432.99999999999994,"Inglewood, CA","16000US0636546","inglewood-ca",0.10340200710032706
11,"$75,000-$99,999",2022,"2022",4889,511.00000000000006,"Inglewood, CA","16000US0636546","inglewood-ca",0.13666731892768288
12,"$100,000-$124,999",2022,"2022",3259,406,"Inglewood, CA","16000US0636546","inglewood-ca",0.09110222793727113
13,"$125,000-$149,999",2022,"2022",2637,374,"Inglewood, CA","16000US0636546","inglewood-ca",0.07371481284767842
14,"$150,000-$199,999",2022,"2022",2786,398,"Inglewood, CA","16000US0636546","inglewood-ca",0.07787996533698599
15,"$200,000+",2022,"2022",2319,313,"Inglewood, CA","16000US0636546","inglewood-ca",0.06482542699801526
0,"< $10,000",2021,"2021",6835028,25393,"United States","01000US","united-states",0.05511630775439648
1,"$10,000-$14,999",2021,"2021",4848344,17701,"United States","01000US","united-states",0.03909608270853926
2,"$15,000-$19,999",2021,"2021",4672903,17092,"United States","01000US","united-states",0.037681361342549374
3,"$20,000-$24,999",2021,"2021",4947418,19661,"United States","01000US","united-states",0.03989499575973072
4,"$25,000-$29,999",2021,"2021",5044233,20052,"United States","01000US","united-states",0.04067569268375823
5,"$30,000-$34,999",2021,"2021",5096729,17836,"United States","01000US","united-states",0.041099009997436355
6,"$35,000-$39,999",2021,"2021",4799326,20297,"United States","01000US","united-states",0.038700811295824485
7,"$40,000-$44,999",2021,"2021",4968184,18951,"United States","01000US","united-states",0.04006244865777705
8,"$45,000-$49,999",2021,"2021",4395258,19365,"United States","01000US","united-states",0.035442487227261274
9,"$50,000-$59,999",2021,"2021",8982113,24548,"United States","01000US","united-states",0.07242997459451014
10,"$60,000-$74,999",2021,"2021",11863218,31009.000000000004,"United States","01000US","united-states",0.09566263287370526
11,"$75,000-$99,999",2021,"2021",15895589,44008,"United States","01000US","united-states",0.12817887143423545
12,"$100,000-$124,999",2021,"2021",11904114,48316,"United States","01000US","united-states",0.09599241009216344
13,"$125,000-$149,999",2021,"2021",8333858,41998,"United States","01000US","united-states",0.06720257507495787
14,"$150,000-$199,999",2021,"2021",9694986,42381,"United States","01000US","united-states",0.07817844082724539
15,"$200,000+",2021,"2021",11729691,59924.00000000001,"United States","01000US","united-states",0.09458589767590925
0,"< $10,000",2021,"2021",2220,390,"Inglewood, CA","16000US0636546","inglewood-ca",0.06211875314790979
1,"$10,000-$14,999",2021,"2021",1517,256,"Inglewood, CA","16000US0636546","inglewood-ca",0.04244781465107169
2,"$15,000-$19,999",2021,"2021",1460,302,"Inglewood, CA","16000US0636546","inglewood-ca",0.0408528736918686
3,"$20,000-$24,999",2021,"2021",1436,287,"Inglewood, CA","16000US0636546","inglewood-ca",0.040181319603783086
4,"$25,000-$29,999",2021,"2021",1394,304,"Inglewood, CA","16000US0636546","inglewood-ca",0.039006099949633444
5,"$30,000-$34,999",2021,"2021",1687,361,"Inglewood, CA","16000US0636546","inglewood-ca",0.04720465610834406
6,"$35,000-$39,999",2021,"2021",1409,309,"Inglewood, CA","16000US0636546","inglewood-ca",0.03942582125468689
7,"$40,000-$44,999",2021,"2021",2040,451.99999999999994,"Inglewood, CA","16000US0636546","inglewood-ca",0.05708209748726845
8,"$45,000-$49,999",2021,"2021",1349,259,"Inglewood, CA","16000US0636546","inglewood-ca",0.03774693603447311
9,"$50,000-$59,999",2021,"2021",2469,362,"Inglewood, CA","16000US0636546","inglewood-ca",0.06908612681179696
10,"$60,000-$74,999",2021,"2021",3990,461.00000000000006,"Inglewood, CA","16000US0636546","inglewood-ca",0.11164586714421625
11,"$75,000-$99,999",2021,"2021",4747,456.00000000000006,"Inglewood, CA","16000US0636546","inglewood-ca",0.13282780233924674
