ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2022,"2022",0,"Total",90739,22798,"Census Tract 6005.01, Los Angeles County, CA","14000US06037600501"
2022,"2022",0,"Total",80833,35302,"Census Tract 6006.01, Los Angeles County, CA","14000US06037600601"
2022,"2022",0,"Total",59783,11676,"Census Tract 6006.02, Los Angeles County, CA","14000US06037600602"
2022,"2022",0,"Total",107396,20542,"Census Tract 6007.02, Los Angeles County, CA","14000US06037600702"
2022,"2022",0,"Total",93250,10736,"Census Tract 6007.03, Los Angeles County, CA","14000US06037600703"
2022,"2022",0,"Total",72132,21596,"Census Tract 6007.04, Los Angeles County, CA","14000US06037600704"
2022,"2022",0,"Total",116875,27194,"Census Tract 6008.01, Los Angeles County, CA","14000US06037600801"
2022,"2022",0,"Total",57927,21158,"Census Tract 6008.02, Los Angeles County, CA","14000US06037600802"
2022,"2022",0,"Total",57418,11968,"Census Tract 6009.02, Los Angeles County, CA","14000US06037600902"
2022,"2022",0,"Total",77016,30889.000000000004,"Census Tract 6009.11, Los Angeles County, CA","14000US06037600911"
2022,"2022",0,"Total",73272,5869,"Census Tract 6009.12, Los Angeles County, CA","14000US06037600912"
2022,"2022",0,"Total",42878,28273,"Census Tract 6010.01, Los Angeles County, CA","14000US06037601001"
2022,"2022",0,"Total",59896,23537,"Census Tract 6010.02, Los Angeles County, CA","14000US06037601002"
2022,"2022",0,"Total",58655,5238,"Census Tract 6011, Los Angeles County, CA","14000US06037601100"
2022,"2022",0,"Total",74093,15334,"Census Tract 6012.02, Los Angeles County, CA","14000US06037601202"
2022,"2022",0,"Total",49871,11059,"Census Tract 6012.11, Los Angeles County, CA","14000US06037601211"
2022,"2022",0,"Total",63375,23311,"Census Tract 6012.12, Los Angeles County, CA","14000US06037601212"
2022,"2022",0,"Total",74410,19727,"Census Tract 6013.01, Los Angeles County, CA","14000US06037601301"
2022,"2022",0,"Total",72577,6754,"Census Tract 6013.02, Los Angeles County, CA","14000US06037601302"
2022,"2022",0,"Total",51932,14159.000000000002,"Census Tract 6013.03, Los Angeles County, CA","14000US06037601303"
2022,"2022",0,"Total",52941,14062,"Census Tract 6014.01, Los Angeles County, CA","14000US06037601401"
2022,"2022",0,"Total",88037,14901.000000000002,"Census Tract 6014.02, Los Angeles County, CA","14000US06037601402"
2022,"2022",0,"Total",52682,13413,"Census Tract 6015.01, Los Angeles County, CA","14000US06037601501"
2022,"2022",0,"Total",49219,21006,"Census Tract 6017, Los Angeles County, CA","14000US06037601700"
