ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
0,"White Alone",0,"Not Hispanic or Latino",2022,"2022",713,"Inglewood, CA","16000US0636546","inglewood-ca",5685,0.05322734677827089
0,"White Alone",1,"Hispanic or Latino",2022,"2022",1565,"Inglewood, CA","16000US0636546","inglewood-ca",12763,0.11949703200194746
1,"Black or African American Alone",0,"Not Hispanic or Latino",2022,"2022",2043,"Inglewood, CA","16000US0636546","inglewood-ca",40991,0.38378930022657903
1,"Black or African American Alone",1,"Hispanic or Latino",2022,"2022",621,"Inglewood, CA","16000US0636546","inglewood-ca",1234,0.011553658034192836
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2022,"2022",106.99999999999999,"Inglewood, CA","16000US0636546","inglewood-ca",151,0.0014137782521581185
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2022,"2022",305,"Inglewood, CA","16000US0636546","inglewood-ca",891,0.008342227964721083
3,"Asian Alone",0,"Not Hispanic or Latino",2022,"2022",731,"Inglewood, CA","16000US0636546","inglewood-ca",2567,0.024034230286688014
3,"Asian Alone",1,"Hispanic or Latino",2022,"2022",235,"Inglewood, CA","16000US0636546","inglewood-ca",327,0.003061625751362283
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2022,"2022",256,"Inglewood, CA","16000US0636546","inglewood-ca",238,0.0022283392318783587
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2022,"2022",40,"Inglewood, CA","16000US0636546","inglewood-ca",33,0.00030897140610078083
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2022,"2022",445,"Inglewood, CA","16000US0636546","inglewood-ca",808,0.00756511806452821
5,"Some Other Race Alone",1,"Hispanic or Latino",2022,"2022",2190,"Inglewood, CA","16000US0636546","inglewood-ca",26436,0.24751418459637098
6,"Two or More Races",0,"Not Hispanic or Latino",2022,"2022",937.4710662201795,"Inglewood, CA","16000US0636546","inglewood-ca",3727,0.03489504334962455
6,"Two or More Races",1,"Hispanic or Latino",2022,"2022",1530.873280190101,"Inglewood, CA","16000US0636546","inglewood-ca",10955,0.1025691440555774
0,"White Alone",0,"Not Hispanic or Latino",2021,"2021",737,"Inglewood, CA","16000US0636546","inglewood-ca",4773,0.04411030811600096
0,"White Alone",1,"Hispanic or Latino",2021,"2021",1792.9999999999998,"Inglewood, CA","16000US0636546","inglewood-ca",18943,0.17506422934033233
1,"Black or African American Alone",0,"Not Hispanic or Latino",2021,"2021",1850,"Inglewood, CA","16000US0636546","inglewood-ca",43135,0.3986377834870525
1,"Black or African American Alone",1,"Hispanic or Latino",2021,"2021",548,"Inglewood, CA","16000US0636546","inglewood-ca",1097,0.010138069977635252
